,PLACEID,BOROUGH CODE,FACILITY TYPE,FEATURE NAME,longitude,latitude,FACILITY TYPE NAME,ACTIVITY_CATEGORY,BOROUGH NAME
6652,539,3.0,4,HICKMAN PLAYGROUND,-73.912172314458,40.620182881723,Recreational Facility,recreation,Brooklyn
6656,1036324,4.0,4,KENNEDY PLGD BASKETBALL COURTS,-73.779886352416,40.771826809073,Recreational Facility,recreation,Queens
6658,10747,1.0,3,BLACKFRIARS REPERTORY THEATRE,-73.964969025138,40.765959752852,Cultural Facility,culture,Manhattan
6662,1036471,3.0,4,FOX PLAYGROUND,-73.923922930403,40.632336889116,Recreational Facility,recreation,Brooklyn
6666,1031520,2.0,6,EAST  187 PED BR OV METRO N HRLM,-73.892834740452,40.858322089198,Transportation Facility,transportation,Bronx
6667,1032220,3.0,4,MCCARREN PARK BASEBALL FIELDS,-73.953782036078,40.72096216496,Recreational Facility,recreation,Brooklyn
6671,1031260,4.0,6,COHANCY ST OV BELT SOUTHERN PKWY,-73.834875273081,40.666395459031,Transportation Facility,transportation,Queens
6672,1036253,4.0,4,MARIE CURIE PARK,-73.771743073999,40.756932661413,Recreational Facility,recreation,Queens
6673,15536,2.0,4,KELTCH PARK,-73.917829863161,40.84044305666,Recreational Facility,recreation,Bronx
6674,13620,1.0,3,CARNEGIE HALL,-73.97997047773,40.765017637972,Cultural Facility,culture,Manhattan
6675,1006148,4.0,4,QUEENS ZOO ADMINISTRATION BUILDING,-73.847690904321,40.74377372926,Recreational Facility,recreation,Queens
6677,14758,4.0,6,MTA QUEENS VILLAGE BUS DEPOT,-73.730894868972,40.717051433132,Transportation Facility,transportation,Queens
6680,1007338,1.0,4,RANDALLS ISLAND FIELDS,-73.930995711447,40.786124236916,Recreational Facility,recreation,Manhattan
6681,1031119,1.0,6,E   62 ST PED BRDGE OVER THE PND,-73.973825552364,40.766930828259,Transportation Facility,transportation,Manhattan
6682,15848,4.0,4,BELLAIRE PLAYGROUND,-73.758064333467,40.721550350187,Recreational Facility,recreation,Queens
6683,15219,1.0,4,MARCUS GARVEY POOL,-73.943434914666,40.805231391303,Recreational Facility,recreation,Manhattan
6684,1039490,5.0,4,MIDLAND BEACH PICNIC AREA,-74.09034730395,40.569378063109,Recreational Facility,recreation,Staten Island
6685,660,3.0,4,SQUIBB PARK,-73.995448840989,40.70092882401,Recreational Facility,recreation,Brooklyn
6688,18902,4.0,9,PILGRIM CONGREGATIONAL CHURCH,-73.843099909568,40.693624840766,Religious Institution,culture,Queens
6689,13951,2.0,3,EASTCHESTER LIBRARY,-73.845065555725,40.870137713695,Cultural Facility,culture,Bronx
6691,1030878,2.0,9,MT SINAI BAPTIST CHURCH,-73.910190847649,40.837797239277,Religious Institution,culture,Bronx
6698,1035326,1.0,4,CHILDRENS MAGICAL GARDEN,-73.98640327763,40.720734717174,Recreational Facility,recreation,Manhattan
6699,1039127,3.0,4,AVIATOR GOLF CENTER,-73.902712140138,40.590571042939,Recreational Facility,recreation,Brooklyn
6701,13610,3.0,3,NORTH BROOKLYN YMCA,-73.882735750781,40.684928094044,Cultural Facility,culture,Brooklyn
6703,6543,2.0,6,HUTCHINSON RIVER BUOY 7,-73.821443610855,40.878581319715,Transportation Facility,transportation,Bronx
6704,12399,2.0,6,CITY ISLAND WRECK BUOY WR6,-73.795460669396,40.844029788041,Transportation Facility,transportation,Bronx
6706,1372,3.0,4,CONCERNED CITIZENS OF GROVE STREET,-73.921560438492,40.692255989383,Recreational Facility,recreation,Brooklyn
6710,1035870,2.0,4,PLAYGROUND 174,-73.877765848223,40.834356830046,Recreational Facility,recreation,Bronx
6712,1018024,5.0,3,SAILORS SNUG HARBOR,-74.102995403286,40.642506357397,Cultural Facility,culture,Staten Island
6714,9901,1.0,6,PIER 83,-74.001505517374,40.762804026567,Transportation Facility,transportation,Manhattan
6716,15992,4.0,3,NORTH FOREST PARK LIBRARY,-73.853680690772,40.71117281176,Cultural Facility,culture,Queens
6718,12550,4.0,6,RIKERS ISLAND BASIN JUNCTION LIGHTED BUOY RI,-73.895165671843,40.788552564127,Transportation Facility,transportation,Queens
6719,1032690,2.0,6,BX RIV PY SB OV BRUCKNER EXPWY,-73.87258400116,40.824414622571,Transportation Facility,transportation,Bronx
6725,125,3.0,4,CHARLIES PLACE,-73.945981194008,40.699221132641,Recreational Facility,recreation,Brooklyn
6730,15270,3.0,9,ST PAULS CHURCH THE NAZARENE,-73.946753258888,40.68576521647,Religious Institution,culture,Brooklyn
6731,1031755,3.0,6,AVENUE H OVER LIRR BAY RIDGE,-73.937612732534,40.632254762736,Transportation Facility,transportation,Brooklyn
6736,3738,1.0,9,BETHEL WAY THE CROSS CHURCH,-73.946800024037,40.802693523256,Religious Institution,culture,Manhattan
6739,1029179,1.0,9,MUSLIM CENTER OF MANHATTAN,-73.981350747543,40.754379600772,Religious Institution,culture,Manhattan
6741,1031129,1.0,6,FDR DR NB E42 TO 49 OV RIV,-73.967448139973,40.748861778481,Transportation Facility,transportation,Manhattan
6742,17445,5.0,4,PS 69 PLAYGROUND,-74.156852661303,40.591925426542,Recreational Facility,recreation,Staten Island
6753,1006605,3.0,6,SQUIBB PARK,-73.99583162308,40.700662381371,Transportation Facility,transportation,Brooklyn
6755,1032314,3.0,9,PEOPLES CATHEDRAL OF BROOKLYN,-73.928950374593,40.67031825001,Religious Institution,culture,Brooklyn
6756,1029971,1.0,4,RIVERSIDE PARK 101 ST SOCCER FIELD,-73.97387995632,40.800172825037,Recreational Facility,recreation,Manhattan
6757,1024349,1.0,4,DYCKMAN SOCCER FIELDS,-73.928909953542,40.875328268584,Recreational Facility,recreation,Manhattan
6758,1034158,3.0,4,NEW YORK AQUARIUM EXHIBIT MAINTENANCE BUILDING,-73.97779187409,40.573596720087,Recreational Facility,recreation,Brooklyn
6761,3671,3.0,9,ST CATHERINE OF GENOA CHURCH,-73.939468936863,40.652780663102,Religious Institution,culture,Brooklyn
6764,13028,3.0,6,BAY RIDGE CHANNEL ANCHORAGE LIGHTED BUOY C,-74.04004902044,40.650735238991,Transportation Facility,transportation,Brooklyn
6766,14893,1.0,4,CONSERVATORY GARDENS WEST LANDSCAPE,-73.953966539525,40.793336057112,Recreational Facility,recreation,Manhattan
6767,13807,5.0,3,ALICE AUSTEN HOUSE MUSEUM,-74.063035120065,40.615151023674,Cultural Facility,culture,Staten Island
6769,17332,1.0,4,CENTRAL PARK EAST 72 STREET PLAYGROUND,-73.96781493199,40.772143966716,Recreational Facility,recreation,Manhattan
